InvoiceId,CustomerId,InvoiceDate,BillingAdress,BillingCity,BillingState,BillingCountry,BillingPostalCode,Total
71,28,11/7/09 0:00,302 S 700 E,Salt Lake City,UT,USA,84102,1.98
72,30,11/8/09 0:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,3.96
73,34,11/9/09 0:00,Rua da AssunÌ¤Ì£o 53,Lisbon,,Portugal,,5.94
74,40,11/12/09 0:00,"8, Rue Hanovre",Paris,,France,75002,8.91
75,49,11/17/09 0:00,Ordynacka 10,Warsaw,,Poland,00-358,13.86
76,4,11/25/09 0:00,UllevÌ´lsveien 14,Oslo,,Norway,171,0.99
77,5,12/8/09 0:00,Klanova 9/506,Prague,,Czech Republic,14700,1.98
78,7,12/8/09 0:00,"RotenturmstraÌÙe 4, 1010 Innere Stadt",Vienne,,Austria,1010,1.98
79,9,12/9/09 0:00,SÌünder Boulevard 51,Copenhagen,,Denmark,1720,3.96
80,13,12/10/09 0:00,Qe 7 Bloco G,BrasÌ_lia,DF,Brazil,71020-677,5.94
81,19,12/13/09 0:00,1 Infinite Loop,Cupertino,CA,USA,95014,8.91
82,28,12/18/09 0:00,302 S 700 E,Salt Lake City,UT,USA,84102,13.86
83,42,12/26/09 0:00,"9, Place Louis Barthou",Bordeaux,,France,33000,0.99
84,43,1/8/10 0:00,"68, Rue Jouvence",Dijon,,France,21000,1.98
85,45,1/8/10 0:00,ErzsÌ©bet krt. 58.,Budapest,,Hungary,H-1073,1.98
86,47,1/9/10 0:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,3.96
87,51,1/10/10 0:00,Celsiusg. 9,Stockholm,,Sweden,11230,6.94
88,57,1/13/10 0:00,"Calle Lira, 198",Santiago,,Chile,,17.91
89,7,1/18/10 0:00,"RotenturmstraÌÙe 4, 1010 Innere Stadt",Vienne,,Austria,1010,18.86
90,21,1/26/10 0:00,801 W 4th Street,Reno,NV,USA,89503,0.99
91,22,2/8/10 0:00,120 S Orange Ave,Orlando,FL,USA,32801,1.98
92,24,2/8/10 0:00,162 E Superior Street,Chicago,IL,USA,60611,1.98
93,26,2/9/10 0:00,2211 W Berry Street,Fort Worth,TX,USA,76110,3.96
94,30,2/10/10 0:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,5.94
95,36,2/13/10 0:00,TauentzienstraÌÙe 8,Berlin,,Germany,10789,8.91
96,45,2/18/10 0:00,ErzsÌ©bet krt. 58.,Budapest,,Hungary,H-1073,21.86
97,59,2/26/10 0:00,"3,Raj Bhavan Road",Bangalore,,India,560001,1.99
98,1,3/11/10 0:00,"Av. Brigadeiro Faria Lima, 2170",SÌ£o JosÌ© dos Campos,SP,Brazil,12227-000,3.98
99,3,3/11/10 0:00,1498 rue BÌ©langer,MontrÌ©al,QC,Canada,H2G 1A7,3.98
100,5,3/12/10 0:00,Klanova 9/506,Prague,,Czech Republic,14700,3.96
101,9,3/13/10 0:00,SÌünder Boulevard 51,Copenhagen,,Denmark,1720,5.94
102,15,3/16/10 0:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,9.91
103,24,3/21/10 0:00,162 E Superior Street,Chicago,IL,USA,60611,15.86
104,38,3/29/10 0:00,BarbarossastraÌÙe 19,Berlin,,Germany,10779,0.99
105,39,4/11/10 0:00,"4, Rue Milton",Paris,,France,75009,1.98
106,41,4/11/10 0:00,"11, Place Bellecour",Lyon,,France,69002,1.98
107,43,4/12/10 0:00,"68, Rue Jouvence",Dijon,,France,21000,3.96
108,47,4/13/10 0:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,5.94
109,53,4/16/10 0:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,8.91
110,3,4/21/10 0:00,1498 rue BÌ©langer,MontrÌ©al,QC,Canada,H2G 1A7,13.86
111,17,4/29/10 0:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,0.99
112,18,5/12/10 0:00,627 Broadway,New York,NY,USA,10012-2612,1.98
113,20,5/12/10 0:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,1.98
114,22,5/13/10 0:00,120 S Orange Ave,Orlando,FL,USA,32801,3.96
115,26,5/14/10 0:00,2211 W Berry Street,Fort Worth,TX,USA,76110,5.94
116,32,5/17/10 0:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,8.91
117,41,5/22/10 0:00,"11, Place Bellecour",Lyon,,France,69002,13.86
118,55,5/30/10 0:00,421 Bourke Street,Sidney,NSW,Australia,2010,0.99
119,56,6/12/10 0:00,307 Macacha GÌ_emes,Buenos Aires,,Argentina,1106,1.98
120,58,6/12/10 0:00,"12,Community Centre",Delhi,,India,110017,1.98
121,1,6/13/10 0:00,"Av. Brigadeiro Faria Lima, 2170",SÌ£o JosÌ© dos Campos,SP,Brazil,12227-000,3.96
122,5,6/14/10 0:00,Klanova 9/506,Prague,,Czech Republic,14700,5.94
123,11,6/17/10 0:00,"Av. Paulista, 2022",SÌ£o Paulo,SP,Brazil,01310-200,8.91
124,20,6/22/10 0:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,13.86
125,34,6/30/10 0:00,Rua da AssunÌ¤Ì£o 53,Lisbon,,Portugal,,0.99
126,35,7/13/10 0:00,"Rua dos CampeÌµes Europeus de Viena, 4350",Porto,,Portugal,,1.98
127,37,7/13/10 0:00,Berger StraÌÙe 10,Frankfurt,,Germany,60316,1.98
128,39,7/14/10 0:00,"4, Rue Milton",Paris,,France,75009,3.96
129,43,7/15/10 0:00,"68, Rue Jouvence",Dijon,,France,21000,5.94
130,49,7/18/10 0:00,Ordynacka 10,Warsaw,,Poland,00-358,8.91
131,58,7/23/10 0:00,"12,Community Centre",Delhi,,India,110017,13.86
132,13,7/31/10 0:00,Qe 7 Bloco G,BrasÌ_lia,DF,Brazil,71020-677,0.99
133,14,8/13/10 0:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,1.98
134,16,8/13/10 0:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,1.98
135,18,8/14/10 0:00,627 Broadway,New York,NY,USA,10012-2612,3.96
136,22,8/15/10 0:00,120 S Orange Ave,Orlando,FL,USA,32801,5.94
137,28,8/18/10 0:00,302 S 700 E,Salt Lake City,UT,USA,84102,8.91
138,37,8/23/10 0:00,Berger StraÌÙe 10,Frankfurt,,Germany,60316,13.86
139,51,8/31/10 0:00,Celsiusg. 9,Stockholm,,Sweden,11230,0.99
140,52,9/13/10 0:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,1.98
141,54,9/13/10 0:00,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,1.98
142,56,9/14/10 0:00,307 Macacha GÌ_emes,Buenos Aires,,Argentina,1106,3.96
143,1,9/15/10 0:00,"Av. Brigadeiro Faria Lima, 2170",SÌ£o JosÌ© dos Campos,SP,Brazil,12227-000,5.94
144,7,9/18/10 0:00,"RotenturmstraÌÙe 4, 1010 Innere Stadt",Vienne,,Austria,1010,8.91
145,16,9/23/10 0:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,13.86
146,30,10/1/10 0:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,0.99
147,31,10/14/10 0:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,1.98
148,33,10/14/10 0:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,1.98
149,35,10/15/10 0:00,"Rua dos CampeÌµes Europeus de Viena, 4350",Porto,,Portugal,,3.96
150,39,10/16/10 0:00,"4, Rue Milton",Paris,,France,75009,5.94
151,45,10/19/10 0:00,ErzsÌ©bet krt. 58.,Budapest,,Hungary,H-1073,8.91
152,54,10/24/10 0:00,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,13.86
153,9,11/1/10 0:00,SÌünder Boulevard 51,Copenhagen,,Denmark,1720,0.99
154,10,11/14/10 0:00,"Rua Dr. FalcÌ£o Filho, 155",SÌ£o Paulo,SP,Brazil,01007-010,1.98
155,12,11/14/10 0:00,"PraÌ¤a Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,1.98
156,14,11/15/10 0:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,3.96
157,18,11/16/10 0:00,627 Broadway,New York,NY,USA,10012-2612,5.94
158,24,11/19/10 0:00,162 E Superior Street,Chicago,IL,USA,60611,8.91
159,33,11/24/10 0:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,13.86
160,47,12/2/10 0:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,0.99
161,48,12/15/10 0:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,1.98
162,50,12/15/10 0:00,C/ San Bernardo 85,Madrid,,Spain,28015,1.98
163,52,12/16/10 0:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,3.96
164,56,12/17/10 0:00,307 Macacha GÌ_emes,Buenos Aires,,Argentina,1106,5.94
165,3,12/20/10 0:00,1498 rue BÌ©langer,MontrÌ©al,QC,Canada,H2G 1A7,8.91
166,12,12/25/10 0:00,"PraÌ¤a Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,13.86
167,26,1/2/11 0:00,2211 W Berry Street,Fort Worth,TX,USA,76110,0.99
168,27,1/15/11 0:00,1033 N Park Ave,Tucson,AZ,USA,85719,1.98
169,29,1/15/11 0:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,1.98
170,31,1/16/11 0:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,3.96
171,35,1/17/11 0:00,"Rua dos CampeÌµes Europeus de Viena, 4350",Porto,,Portugal,,5.94
172,41,1/20/11 0:00,"11, Place Bellecour",Lyon,,France,69002,8.91
173,50,1/25/11 0:00,C/ San Bernardo 85,Madrid,,Spain,28015,13.86
174,5,2/2/11 0:00,Klanova 9/506,Prague,,Czech Republic,14700,0.99
175,6,2/15/11 0:00,RilskÌÁ 3174/6,Prague,,Czech Republic,14300,1.98
176,8,2/15/11 0:00,GrÌ©trystraat 63,Brussels,,Belgium,1000,1.98
177,10,2/16/11 0:00,"Rua Dr. FalcÌ£o Filho, 155",SÌ£o Paulo,SP,Brazil,01007-010,3.96
178,14,2/17/11 0:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,5.94
179,20,2/20/11 0:00,541 Del Medio Avenue,Mountain View,CA,USA,94040-111,8.91
180,29,2/25/11 0:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,13.86
181,43,3/5/11 0:00,"68, Rue Jouvence",Dijon,,France,21000,0.99
182,44,3/18/11 0:00,Porthaninkatu 9,Helsinki,,Finland,530,1.98
183,46,3/18/11 0:00,3 Chatham Street,Dublin,Dublin,Ireland,,1.98
184,48,3/19/11 0:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,3.96
185,52,3/20/11 0:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,5.94
186,58,3/23/11 0:00,"12,Community Centre",Delhi,,India,110017,8.91
187,8,3/28/11 0:00,GrÌ©trystraat 63,Brussels,,Belgium,1000,13.86
188,22,4/5/11 0:00,120 S Orange Ave,Orlando,FL,USA,32801,0.99
189,23,4/18/11 0:00,69 Salem Street,Boston,MA,USA,2113,1.98
190,25,4/18/11 0:00,319 N. Frances Street,Madison,WI,USA,53703,1.98
191,27,4/19/11 0:00,1033 N Park Ave,Tucson,AZ,USA,85719,3.96
192,31,4/20/11 0:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,5.94
193,37,4/23/11 0:00,Berger StraÌÙe 10,Frankfurt,,Germany,60316,14.91
194,46,4/28/11 0:00,3 Chatham Street,Dublin,Dublin,Ireland,,21.86
195,1,5/6/11 0:00,"Av. Brigadeiro Faria Lima, 2170",SÌ£o JosÌ© dos Campos,SP,Brazil,12227-000,0.99
196,2,5/19/11 0:00,Theodor-Heuss-StraÌÙe 34,Stuttgart,,Germany,70174,1.98
197,4,5/19/11 0:00,UllevÌ´lsveien 14,Oslo,,Norway,171,1.98
198,6,5/20/11 0:00,RilskÌÁ 3174/6,Prague,,Czech Republic,14300,3.96
199,10,5/21/11 0:00,"Rua Dr. FalcÌ£o Filho, 155",SÌ£o Paulo,SP,Brazil,01007-010,5.94
200,16,5/24/11 0:00,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043-1351,8.91
201,25,5/29/11 0:00,319 N. Frances Street,Madison,WI,USA,53703,18.86
202,39,6/6/11 0:00,"4, Rue Milton",Paris,,France,75009,1.99
203,40,6/19/11 0:00,"8, Rue Hanovre",Paris,,France,75002,2.98
204,42,6/19/11 0:00,"9, Place Louis Barthou",Bordeaux,,France,33000,3.98
205,44,6/20/11 0:00,Porthaninkatu 9,Helsinki,,Finland,530,7.96
206,48,6/21/11 0:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,8.94
207,54,6/24/11 0:00,110 Raeburn Pl,Edinburgh,,United Kingdom,EH4 1HH,8.91
208,4,6/29/11 0:00,UllevÌ´lsveien 14,Oslo,,Norway,171,15.86
209,18,7/7/11 0:00,627 Broadway,New York,NY,USA,10012-2612,0.99
210,19,7/20/11 0:00,1 Infinite Loop,Cupertino,CA,USA,95014,1.98
211,21,7/20/11 0:00,801 W 4th Street,Reno,NV,USA,89503,1.98
212,23,7/21/11 0:00,69 Salem Street,Boston,MA,USA,2113,3.96
213,27,7/22/11 0:00,1033 N Park Ave,Tucson,AZ,USA,85719,5.94
214,33,7/25/11 0:00,5112 48 Street,Yellowknife,NT,Canada,X1A 1N6,8.91
215,42,7/30/11 0:00,"9, Place Louis Barthou",Bordeaux,,France,33000,13.86
216,56,8/7/11 0:00,307 Macacha GÌ_emes,Buenos Aires,,Argentina,1106,0.99
217,57,8/20/11 0:00,"Calle Lira, 198",Santiago,,Chile,,1.98
218,59,8/20/11 0:00,"3,Raj Bhavan Road",Bangalore,,India,560001,1.98
219,2,8/21/11 0:00,Theodor-Heuss-StraÌÙe 34,Stuttgart,,Germany,70174,3.96
220,6,8/22/11 0:00,RilskÌÁ 3174/6,Prague,,Czech Republic,14300,5.94
221,12,8/25/11 0:00,"PraÌ¤a Pio X, 119",Rio de Janeiro,RJ,Brazil,20040-020,8.91
222,21,8/30/11 0:00,801 W 4th Street,Reno,NV,USA,89503,13.86
223,35,9/7/11 0:00,"Rua dos CampeÌµes Europeus de Viena, 4350",Porto,,Portugal,,0.99
224,36,9/20/11 0:00,TauentzienstraÌÙe 8,Berlin,,Germany,10789,1.98
225,38,9/20/11 0:00,BarbarossastraÌÙe 19,Berlin,,Germany,10779,1.98
226,40,9/21/11 0:00,"8, Rue Hanovre",Paris,,France,75002,3.96
227,44,9/22/11 0:00,Porthaninkatu 9,Helsinki,,Finland,530,5.94
228,50,9/25/11 0:00,C/ San Bernardo 85,Madrid,,Spain,28015,8.91
229,59,9/30/11 0:00,"3,Raj Bhavan Road",Bangalore,,India,560001,13.86
230,14,10/8/11 0:00,8210 111 ST NW,Edmonton,AB,Canada,T6G 2C7,0.99
231,15,10/21/11 0:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,1.98
232,17,10/21/11 0:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,1.98
233,19,10/22/11 0:00,1 Infinite Loop,Cupertino,CA,USA,95014,3.96
234,23,10/23/11 0:00,69 Salem Street,Boston,MA,USA,2113,5.94
235,29,10/26/11 0:00,796 Dundas Street West,Toronto,ON,Canada,M6J 1V1,8.91
236,38,10/31/11 0:00,BarbarossastraÌÙe 19,Berlin,,Germany,10779,13.86
237,52,11/8/11 0:00,202 Hoxton Street,London,,United Kingdom,N1 5LH,0.99
238,53,11/21/11 0:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,1.98
239,55,11/21/11 0:00,421 Bourke Street,Sidney,NSW,Australia,2010,1.98
240,57,11/22/11 0:00,"Calle Lira, 198",Santiago,,Chile,,3.96
241,2,11/23/11 0:00,Theodor-Heuss-StraÌÙe 34,Stuttgart,,Germany,70174,5.94
242,8,11/26/11 0:00,GrÌ©trystraat 63,Brussels,,Belgium,1000,8.91
243,17,12/1/11 0:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,13.86
244,31,12/9/11 0:00,194A Chain Lake Drive,Halifax,NS,Canada,B3S 1C5,0.99
245,32,12/22/11 0:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,1.98
246,34,12/22/11 0:00,Rua da AssunÌ¤Ì£o 53,Lisbon,,Portugal,,1.98
247,36,12/23/11 0:00,TauentzienstraÌÙe 8,Berlin,,Germany,10789,3.96
248,40,12/24/11 0:00,"8, Rue Hanovre",Paris,,France,75002,5.94
249,46,12/27/11 0:00,3 Chatham Street,Dublin,Dublin,Ireland,,8.91
250,55,1/1/12 0:00,421 Bourke Street,Sidney,NSW,Australia,2010,13.86
251,10,1/9/12 0:00,"Rua Dr. FalcÌ£o Filho, 155",SÌ£o Paulo,SP,Brazil,01007-010,0.99
252,11,1/22/12 0:00,"Av. Paulista, 2022",SÌ£o Paulo,SP,Brazil,01310-200,1.98
253,13,1/22/12 0:00,Qe 7 Bloco G,BrasÌ_lia,DF,Brazil,71020-677,1.98
254,15,1/23/12 0:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,3.96
255,19,1/24/12 0:00,1 Infinite Loop,Cupertino,CA,USA,95014,5.94
256,25,1/27/12 0:00,319 N. Frances Street,Madison,WI,USA,53703,8.91
257,34,2/1/12 0:00,Rua da AssunÌ¤Ì£o 53,Lisbon,,Portugal,,13.86
258,48,2/9/12 0:00,Lijnbaansgracht 120bg,Amsterdam,VV,Netherlands,1016,0.99
259,49,2/22/12 0:00,Ordynacka 10,Warsaw,,Poland,00-358,1.98
260,51,2/22/12 0:00,Celsiusg. 9,Stockholm,,Sweden,11230,1.98
261,53,2/23/12 0:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,3.96
262,57,2/24/12 0:00,"Calle Lira, 198",Santiago,,Chile,,5.94
263,4,2/27/12 0:00,UllevÌ´lsveien 14,Oslo,,Norway,171,8.91
264,13,3/3/12 0:00,Qe 7 Bloco G,BrasÌ_lia,DF,Brazil,71020-677,13.86
265,27,3/11/12 0:00,1033 N Park Ave,Tucson,AZ,USA,85719,0.99
266,28,3/24/12 0:00,302 S 700 E,Salt Lake City,UT,USA,84102,1.98
267,30,3/24/12 0:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,1.98
268,32,3/25/12 0:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,3.96
269,36,3/26/12 0:00,TauentzienstraÌÙe 8,Berlin,,Germany,10789,5.94
270,42,3/29/12 0:00,"9, Place Louis Barthou",Bordeaux,,France,33000,8.91
271,51,4/3/12 0:00,Celsiusg. 9,Stockholm,,Sweden,11230,13.86
272,6,4/11/12 0:00,RilskÌÁ 3174/6,Prague,,Czech Republic,14300,0.99
273,7,4/24/12 0:00,"RotenturmstraÌÙe 4, 1010 Innere Stadt",Vienne,,Austria,1010,1.98
274,9,4/24/12 0:00,SÌünder Boulevard 51,Copenhagen,,Denmark,1720,1.98
275,11,4/25/12 0:00,"Av. Paulista, 2022",SÌ£o Paulo,SP,Brazil,01310-200,3.96
276,15,4/26/12 0:00,700 W Pender Street,Vancouver,BC,Canada,V6C 1G8,5.94
277,21,4/29/12 0:00,801 W 4th Street,Reno,NV,USA,89503,8.91
278,30,5/4/12 0:00,230 Elgin Street,Ottawa,ON,Canada,K2P 1L7,13.86
279,44,5/12/12 0:00,Porthaninkatu 9,Helsinki,,Finland,530,0.99
280,45,5/25/12 0:00,ErzsÌ©bet krt. 58.,Budapest,,Hungary,H-1073,1.98
281,47,5/25/12 0:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,1.98
282,49,5/26/12 0:00,Ordynacka 10,Warsaw,,Poland,00-358,3.96
283,53,5/27/12 0:00,113 Lupus St,London,,United Kingdom,SW1V 3EN,5.94
284,59,5/30/12 0:00,"3,Raj Bhavan Road",Bangalore,,India,560001,8.91
285,9,6/4/12 0:00,SÌünder Boulevard 51,Copenhagen,,Denmark,1720,13.86
286,23,6/12/12 0:00,69 Salem Street,Boston,MA,USA,2113,0.99
287,24,6/25/12 0:00,162 E Superior Street,Chicago,IL,USA,60611,1.98
288,26,6/25/12 0:00,2211 W Berry Street,Fort Worth,TX,USA,76110,1.98
289,28,6/26/12 0:00,302 S 700 E,Salt Lake City,UT,USA,84102,3.96
290,32,6/27/12 0:00,696 Osborne Street,Winnipeg,MB,Canada,R3L 2B9,5.94
291,38,6/30/12 0:00,BarbarossastraÌÙe 19,Berlin,,Germany,10779,8.91
292,47,7/5/12 0:00,"Via Degli Scipioni, 43",Rome,RM,Italy,192,13.86
293,2,7/13/12 0:00,Theodor-Heuss-StraÌÙe 34,Stuttgart,,Germany,70174,0.99
294,3,7/26/12 0:00,1498 rue BÌ©langer,MontrÌ©al,QC,Canada,H2G 1A7,1.98
295,5,7/26/12 0:00,Klanova 9/506,Prague,,Czech Republic,14700,1.98
296,7,7/27/12 0:00,"RotenturmstraÌÙe 4, 1010 Innere Stadt",Vienne,,Austria,1010,3.96
297,11,7/28/12 0:00,"Av. Paulista, 2022",SÌ£o Paulo,SP,Brazil,01310-200,5.94
298,17,7/31/12 0:00,1 Microsoft Way,Redmond,WA,USA,98052-8300,10.91
299,26,8/5/12 0:00,2211 W Berry Street,Fort Worth,TX,USA,76110,23.86
